,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
190,2022.07.01 13:19:58:631,122.863,942.774323308329,161.710074659992,4.89246563906056,-891.884553373152,294.788646695641,80.4053600402549,-2.742376,-0.253936,3.19977,1.3e-05,1.8e-05,-4.3e-05,254,254,199,0.1,-10,0.0,0.5619999999999976,ok
191,2022.07.01 13:19:59:182,123.414,943.264564528637,162.032098498144,4.71673410530751,-894.22241407256,289.996722288619,77.5642567649484,-1.712849,-0.740391,1.148543,0.0,1e-06,1e-06,254,254,199,0.01,-20,0.0,0.5510000000000019,ok
192,2022.07.01 13:19:59:729,123.961,943.621809689909,161.96566053798,4.70202642376802,-894.2429978208,291.149813341453,77.352225321345,-1.714043,-0.740914,1.150651,4e-06,-8e-06,-9e-06,254,254,199,0.01,-20,0.0,0.546999999999997,ok
193,2022.07.01 13:20:00:278,124.51,943.591471725199,161.901002322995,4.67589334885018,-893.9185677164,292.160316407884,76.9207990132272,-1.713189,-0.740676,1.149557,1e-06,2e-06,-4e-06,254,254,199,0.01,-20,0.0,0.5490000000000066,ok
194,2022.07.01 13:20:00:832,125.064,943.194360842231,162.075633154372,4.67179276141378,-894.433539133886,289.314288626694,76.8211480872706,-0.939972,-0.605638,0.298396,0.006653,-0.010037,-0.01872,254,254,199,0.0251188643150958,-16,0.0,0.5539999999999878,ok
195,2022.07.01 13:20:01:379,125.611,943.50538243552,162.041786320459,4.64770695105327,-894.588011673442,289.94812581818,76.4511634279042,-0.939824,-0.605659,0.298802,0.042322,-0.036278,-0.041245,254,254,199,0.0251188643150958,-16,0.0,0.5470000000000113,ok
196,2022.07.01 13:20:01:929,126.161,943.598655892413,162.008958236484,4.63097251517073,-894.531359152137,290.496239237484,76.1840264378116,-0.938816,-0.60515,0.297997,0.0,0.0,0.0,254,254,199,0.0251188643150958,-16,0.0,0.5499999999999972,ok
197,2022.07.01 13:20:02:476,126.708,944.822644142124,162.845057384565,4.57824811628517,-899.907494559041,277.792592745063,75.4162153396755,2.07627,-1.478096,-3.784021,0.000725,-0.001098,-0.002043,0,0,199,0.125892541179417,-9,0.0,0.546999999999997,ok
198,2022.07.01 13:20:03:040,127.272,945.328691592343,162.971740830686,4.5186177442853,-901.076424908745,275.972748617598,74.4758594566956,2.074114,-1.479738,-3.783538,0.004402,-0.003774,-0.00429,254,254,199,0.125892541179417,-9,0.0,0.5640000000000072,ok
199,2022.07.01 13:20:03:589,127.821,945.873453215816,163.119654473432,4.4590015235487,-902.37924405023,273.82568998637,73.5376156074926,2.067527,-1.483964,-3.781218,0.0,0.0,0.0,254,254,199,0.125892541179417,-9,0.0,0.5489999999999924,ok
200,2022.07.01 13:20:04:153,128.385,946.492931089353,163.256206845662,4.40882899907427,-903.682063191249,271.870670714135,72.7594370096922,2.066095,-1.483527,-3.779961,1e-06,0.0,-2e-06,254,254,199,0.125892541179417,-9,0.0,0.563999999999993,ok
201,2022.07.01 13:20:04:722,128.954,944.69530369397,163.148000807081,4.4505221282621,-901.400855013146,273.041851965445,73.3066332489252,1.41212,-0.860427,-2.687975,0.0,0.0,0.0,254,254,199,0.316227766016838,-5,0.0,0.5690000000000168,ok
202,2022.07.01 13:20:05:268,129.5,945.063601137816,163.264603615223,4.40759035651458,-902.35866030199,271.328323423393,72.6291902875528,1.410583,-0.860156,-2.687299,7e-06,-2.8e-05,1.8e-05,254,254,199,0.316227766016838,-5,0.0,0.5459999999999923,ok
203,2022.07.01 13:20:05:817,130.049,945.468656400834,163.348533594205,4.37412441954433,-903.182576799053,270.134048743155,72.1097005447373,1.409182,-0.859943,-2.686139,0.0,0.0,0.0,254,254,199,0.316227766016838,-5,0.0,0.5490000000000066,ok
204,2022.07.01 13:20:06:365,130.597,943.444543017415,163.339320655624,4.56299308927845,-900.973506167544,269.631175275983,75.0558209121227,1.429699,0.016255,-1.813692,0.088067,-0.035446,-0.06941,254,254,199,0.0158489319246111,-18,0.0,0.5480000000000018,ok
205,2022.07.01 13:20:06:917,131.149,943.481293007916,163.414835697498,4.55344968528498,-901.375172541956,268.457492408983,74.902091762051,1.428369,0.018979,-1.81236,0.062774,-0.012242,-0.058932,254,254,199,0.0158489319246111,-18,0.0,0.5519999999999925,ok
206,2022.07.01 13:20:07:467,131.699,943.519697601851,163.490342720302,4.54389916612964,-901.776838916367,267.283809542445,74.7483626119792,1.427338,0.020159,-1.811025,0.000405,6.3e-05,-0.000431,254,254,199,0.0158489319246111,-18,0.0,0.5500000000000114,ok
207,2022.07.01 13:20:08:034,132.266,943.559756596921,163.565841463142,4.53434158393024,-902.178505290778,266.110126675445,74.5946334619075,1.426478,0.020482,-1.81005,0.017047,-0.003265,-0.016039,254,254,199,0.0158489319246111,-18,0.0,0.5669999999999789,ok
208,2022.07.01 13:20:08:583,132.815,945.618832762733,163.911559143464,5.15923725136689,-904.902736195282,260.98899668641,85.03386684414,3.907746,1.105809,-1.224909,0.005351,0.00106,-0.00508,254,254,199,0.0316227766016838,-15,0.0,0.5490000000000066,ok
209,2022.07.01 13:20:09:132,133.364,945.613212368501,164.030875205916,5.22776060310859,-905.340471343223,259.074306138966,86.1596323838457,3.905393,1.105118,-1.224467,0.0,0.0,0.0,254,254,199,0.0316227766016838,-15,0.0,0.5490000000000066,ok
210,2022.07.01 13:20:09:679,133.911,945.82907048772,164.148709192504,5.2887916238642,-905.989331552025,257.245339365098,87.1825502524152,3.904433,1.105073,-1.223341,0.001685,0.000333,-0.0016,254,254,199,0.0316227766016838,-15,0.0,0.546999999999997,ok
211,2022.07.01 13:20:10:245,134.477,945.69568563486,164.201688703981,4.76840208689052,-906.823445495454,256.576302859379,78.6140530640259,2.312963,-0.127062,-2.334484,0.0,0.0,0.0,254,254,199,0.0630957344480193,-12,0.0,0.5660000000000025,ok
212,2022.07.01 13:20:10:807,135.039,945.89623916278,164.308456485406,4.76803060924156,-907.492889452962,254.940230345717,78.6246132319793,2.315355,-0.125026,-2.333223,0.0,0.0,0.0,254,254,199,0.0630957344480193,-12,0.0,0.5619999999999834,ok
213,2022.07.01 13:20:11:357,135.589,946.205888555042,164.425276103804,4.77696282558392,-908.296222201785,253.16898268729,78.7973506869748,2.314248,-0.125108,-2.332271,0.0,0.0,0.0,254,254,199,0.0630957344480193,-12,0.0,0.5500000000000114,ok
214,2022.07.01 13:20:11:909,136.141,940.163850659519,162.426800120433,5.44416393141397,-892.245241106591,282.577585933192,89.1986756501719,-3.264599,3.955024,8.469228,0.0,0.0,0.0,0,0,199,0.0199526231496888,-17,0.0,0.5519999999999925,ok
215,2022.07.01 13:20:12:456,136.688,938.870666292757,162.161734161582,5.5894180368572,-889.485130284066,286.237866003696,91.4451480079442,-3.263769,3.955029,8.468593,0.0,0.0,0.0,254,254,199,0.0199526231496888,-17,0.0,0.546999999999997,ok
216,2022.07.01 13:20:13:007,137.239,937.538506850297,161.874363900706,5.76132835338306,-886.51389440068,290.196501018134,94.1145985405892,-3.261554,3.954432,8.466746,0.001105,0.000522,-0.00094,254,254,199,0.0199526231496888,-17,0.0,0.5510000000000161,ok
